"演奏会名","日付","会場","全体指揮等","ステージ","曲目・組曲名等","個別の曲名","作詞・訳詩","作曲","編曲","備考"
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","I","Missa ""O quam gloriosum""","Kyrie","-","T.L. de Victoria","-","指揮: 鈴木義孝"
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","I","Missa ""O quam gloriosum""","Gloria","-","T.L. de Victoria","-","指揮: 鈴木義孝"
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","I","Missa ""O quam gloriosum""","Credo","-","T.L. de Victoria","-","指揮: 鈴木義孝"
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","I","Missa ""O quam gloriosum""","Sanctus","-","T.L. de Victoria","-","指揮: 鈴木義孝"
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","I","Missa ""O quam gloriosum""","Benedictus","-","T.L. de Victoria","-","指揮: 鈴木義孝"
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","I","Missa ""O quam gloriosum""","Agnus Dei","-","T.L. de Victoria","-","指揮: 鈴木義孝"
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","II","愛唱曲集","母なるヴォルガを下りて","白樺合唱団(訳)","ロシア民謡","スヴェシニコフ",""
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","II","愛唱曲集","線路はつづくよどこまでも","佐木敏(訳)","アメリカ民謡","小林秀雄",""
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","II","愛唱曲集","アビニョンの橋の上で","門馬直衛(訳)","フランス民謡","小林秀雄",""
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","II","愛唱曲集","この世のよろこび","皆川達夫(訳)","C. Janequin","-",""
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","II","愛唱曲集","汽車ポッポ","本居長世","本居長世","篠原真",""
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","II","愛唱曲集","七つの子","野口雨情","本居長世","伊藤辰雄",""
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","II","愛唱曲集","夕焼け小焼け","中村雨紅","草川信","伊藤辰雄",""
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","II","愛唱曲集","赤とんぼ","三木露風","山田耕筰","小林秀雄",""
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","II","愛唱曲集","ひろちゃん","やまなかよしこ","三善晃","-",""
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","III","Missa for Three Voices","Kyrie","-","W. Byrd","-","賛助出演: 寒河江高校音楽部"
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","III","Missa for Three Voices","Gloria","-","W. Byrd","-","賛助出演: 寒河江高校音楽部"
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","III","Missa for Three Voices","Sanctus","-","W. Byrd","-","賛助出演: 寒河江高校音楽部"
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","III","Missa for Three Voices","Benedictus","-","W. Byrd","-","賛助出演: 寒河江高校音楽部"
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","III","Missa for Three Voices","Agnus Dei","-","W. Byrd","-","賛助出演: 寒河江高校音楽部"
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","IV","混声合唱のための組曲 ""旅""","1. 旅立つ日","山之井慎, 田中清光","佐藤真","-","指揮: 朝一庸, ピアノ: 小山明子, 朗読: 今野寿子"
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","IV","混声合唱のための組曲 ""旅""","2. 村の小径で","山之井慎, 田中清光","佐藤真","-","指揮: 朝一庸, ピアノ: 小山明子, 朗読: 今野寿子"
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","IV","混声合唱のための組曲 ""旅""","3. 旅のよろこび","山之井慎, 田中清光","佐藤真","-","指揮: 朝一庸, ピアノ: 小山明子, 朗読: 今野寿子"
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","IV","混声合唱のための組曲 ""旅""","4. なぎさ歩めば","山之井慎, 田中清光","佐藤真","-","指揮: 朝一庸, ピアノ: 小山明子, 朗読: 今野寿子"
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","IV","混声合唱のための組曲 ""旅""","5. かごにのって","山之井慎, 田中清光","佐藤真","-","指揮: 朝一庸, ピアノ: 小山明子, 朗読: 今野寿子"
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","IV","混声合唱のための組曲 ""旅""","6. 旅のあとに","山之井慎, 田中清光","佐藤真","-","指揮: 朝一庸, ピアノ: 小山明子, 朗読: 今野寿子"
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","IV","混声合唱のための組曲 ""旅""","7. 行こうふたたび","山之井慎, 田中清光","佐藤真","-","指揮: 朝一庸, ピアノ: 小山明子, 朗読: 今野寿子"
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","V","合唱のためのコンポジションI","I、木やり","-","間宮芳生","-",""
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","V","合唱のためのコンポジションI","II、田の草取り唄","-","間宮芳生","-",""
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","V","合唱のためのコンポジションI","III、子守唄とわらべうた","-","間宮芳生","-",""
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","V","合唱のためのコンポジションI","IV、祭(神楽)","-","間宮芳生","-",""
"第2回定期演奏会","1976年9月3日","山形市民会館小ホール","指揮: 鈴木義孝","I","Missa ""Quarti Toni""","Kyrie","-","T.L. de Victoria","-","伴奏: 兼子恭子"
"第2回定期演奏会","1976年9月3日","山形市民会館小ホール","指揮: 鈴木義孝","I","Missa ""Quarti Toni""","Gloria","-","T.L. de Victoria","-","伴奏: 兼子恭子"
"第2回定期演奏会","1976年9月3日","山形市民会館小ホール","指揮: 鈴木義孝","I","Missa ""Quarti Toni""","Credo","-","T.L. de Victoria","-","伴奏: 兼子恭子"
"第2回定期演奏会","1976年9月3日","山形市民会館小ホール","指揮: 鈴木義孝","I","Missa ""Quarti Toni""","Sanctus","-","T.L. de Victoria","-","伴奏: 兼子恭子"
"第2回定期演奏会","1976年9月3日","山形市民会館小ホール","指揮: 鈴木義孝","I","Missa ""Quarti Toni""","Agnus Dei","-","T.L. de Victoria","-","伴奏: 兼子恭子"
"第2回定期演奏会","1976年9月3日","山形市民会館小ホール","指揮: 鈴木義孝","II","合唱組曲 ""笑いの喜遊曲""","1. ハ調のインヴェンション","阪田寛夫","山本直純","-","伴奏: 兼子恭子"
"第2回定期演奏会","1976年9月3日","山形市民会館小ホール","指揮: 鈴木義孝","II","合唱組曲 ""笑いの喜遊曲""","2. ほほえみのメヌエット","阪田寛夫","山本直純","-","伴奏: 兼子恭子"
"第2回定期演奏会","1976年9月3日","山形市民会館小ホール","指揮: 鈴木義孝","II","合唱組曲 ""笑いの喜遊曲""","3. 笑いの誕生","阪田寛夫","山本直純","-","伴奏: 兼子恭子"
"第2回定期演奏会","1976年9月3日","山形市民会館小ホール","指揮: 鈴木義孝","II","合唱組曲 ""笑いの喜遊曲""","4. インテルメッツォ","阪田寛夫","山本直純","-","伴奏: 兼子恭子"
"第2回定期演奏会","1976年9月3日","山形市民会館小ホール","指揮: 鈴木義孝","II","合唱組曲 ""笑いの喜遊曲""","5. こばなし","阪田寛夫","山本直純","-","伴奏: 兼子恭子"
"第2回定期演奏会","1976年9月3日","山形市民会館小ホール","指揮: 鈴木義孝","II","合唱組曲 ""笑いの喜遊曲""","6. 鬼の笑い","阪田寛夫","山本直純","-","伴奏: 兼子恭子"
"第2回定期演奏会","1976年9月3日","山形市民会館小ホール","指揮: 鈴木義孝","II","合唱組曲 ""笑いの喜遊曲""","7. ヘ調のアレグロ","阪田寛夫","山本直純","-","伴奏: 兼子恭子"
"第2回定期演奏会","1976年9月3日","山形市民会館小ホール","指揮: 鈴木義孝","III","混声合唱曲 ""小さな目""","1. せんせい","きよたにたかし","三善晃","-","伴奏: 兼子恭子"
"第2回定期演奏会","1976年9月3日","山形市民会館小ホール","指揮: 鈴木義孝","III","混声合唱曲 ""小さな目""","2. かめ","大しまあきひこ","三善晃","-","伴奏: 兼子恭子"
"第2回定期演奏会","1976年9月3日","山形市民会館小ホール","指揮: 鈴木義孝","III","混声合唱曲 ""小さな目""","3. 先生のネックレス","松井ゆみ子","三善晃","-","伴奏: 兼子恭子"
"第2回定期演奏会","1976年9月3日","山形市民会館小ホール","指揮: 鈴木義孝","III","混声合唱曲 ""小さな目""","4. ひろちゃん","やまなかよしこ","三善晃","-","伴奏: 兼子恭子"
"第2回定期演奏会","1976年9月3日","山形市民会館小ホール","指揮: 鈴木義孝","III","混声合唱曲 ""小さな目""","5. みそしる","尾田じゅん子","三善晃","-","伴奏: 兼子恭子"
"第2回定期演奏会","1976年9月3日","山形市民会館小ホール","指揮: 鈴木義孝","III","混声合唱曲 ""小さな目""","6. いもおおい","小堀つるお","三善晃","-","伴奏: 兼子恭子"
"第2回定期演奏会","1976年9月3日","山形市民会館小ホール","指揮: 鈴木義孝","III","混声合唱曲 ""小さな目""","7. あかちゃん","よしざわゆうこ","三善晃","-","伴奏: 兼子恭子"
"第2回定期演奏会","1976年9月3日","山形市民会館小ホール","指揮: 鈴木義孝","III","混声合唱曲 ""小さな目""","8. やけど","作詞者不詳","三善晃","-","伴奏: 兼子恭子"
"第2回定期演奏会","1976年9月3日","山形市民会館小ホール","指揮: 鈴木義孝","III","混声合唱曲 ""小さな目""","9. けんか","梶山としあき","三善晃","-","伴奏: 兼子恭子"
"第2回定期演奏会","1976年9月3日","山形市民会館小ホール","指揮: 鈴木義孝","III","混声合唱曲 ""小さな目""","10. あさないたこと","いのうえさかえ","三善晃","-","伴奏: 兼子恭子"
"第2回定期演奏会","1976年9月3日","山形市民会館小ホール","指揮: 鈴木義孝","III","混声合唱曲 ""小さな目""","11. ねこといぬ","小西りえこ","三善晃","-","伴奏: 兼子恭子"
"第2回定期演奏会","1976年9月3日","山形市民会館小ホール","指揮: 鈴木義孝","III","混声合唱曲 ""小さな目""","12. うちのミーコ","まきゆうじ","三善晃","-","伴奏: 兼子恭子"
"第2回定期演奏会","1976年9月3日","山形市民会館小ホール","指揮: 鈴木義孝","III","混声合唱曲 ""小さな目""","13. ピアノ","作詞者不詳","三善晃","-","伴奏: 兼子恭子"
"第2回定期演奏会","1976年9月3日","山形市民会館小ホール","指揮: 鈴木義孝","IV","愛唱曲集","Ave Christe","-","Josquin des Pres","-","伴奏: 兼子恭子"
"第2回定期演奏会","1976年9月3日","山形市民会館小ホール","指揮: 鈴木義孝","IV","愛唱曲集","Virga Jesse","-","Anton Bruckner","-","伴奏: 兼子恭子"
"第2回定期演奏会","1976年9月3日","山形市民会館小ホール","指揮: 鈴木義孝","IV","愛唱曲集","信濃の子守唄","信濃地方民謡","小山清茂","-","伴奏: 兼子恭子"
"第2回定期演奏会","1976年9月3日","山形市民会館小ホール","指揮: 鈴木義孝","IV","愛唱曲集","Вниз по матушке по Волге","-","ロシア民謡","A.B.Свешников","伴奏: 兼子恭子"
"第2回定期演奏会","1976年9月3日","山形市民会館小ホール","指揮: 鈴木義孝","IV","愛唱曲集","Калинка","-","ロシア民謡","田中信昭","伴奏: 兼子恭子"
"第2回定期演奏会","1976年9月3日","山形市民会館小ホール","指揮: 鈴木義孝","IV","愛唱曲集","Set Down Servant","-","黒人霊歌","Robert Shaw","伴奏: 兼子恭子"
"第3回定期演奏会","1977年3月22日","山形市民会館大ホール","指揮: 鈴木義孝","I","グレゴリオ聖歌とモテット","Kyrie(聖マリアお告げのミサより)","-","-","-","ピアノ: 兼子恭子"
"第3回定期演奏会","1977年3月22日","山形市民会館大ホール","指揮: 鈴木義孝","I","グレゴリオ聖歌とモテット","Sancta Maria","-","T.L. de Victoria","-","ピアノ: 兼子恭子"
"第3回定期演奏会","1977年3月22日","山形市民会館大ホール","指揮: 鈴木義孝","I","グレゴリオ聖歌とモテット","O Magnum Mysterium","-","T.L. de Victoria","-","ピアノ: 兼子恭子"
"第3回定期演奏会","1977年3月22日","山形市民会館大ホール","指揮: 鈴木義孝","I","グレゴリオ聖歌とモテット","O Quam Gloriosum Est","-","T.L. de Victoria","-","ピアノ: 兼子恭子"
"第3回定期演奏会","1977年3月22日","山形市民会館大ホール","指揮: 鈴木義孝","I","グレゴリオ聖歌とモテット","Vere Languores Nostros","-","T.L. de Victoria","-","ピアノ: 兼子恭子"
"第3回定期演奏会","1977年3月22日","山形市民会館大ホール","指揮: 鈴木義孝","I","グレゴリオ聖歌とモテット","O Vos Omnes","-","T.L. de Victoria","-","ピアノ: 兼子恭子"
"第3回定期演奏会","1977年3月22日","山形市民会館大ホール","指揮: 鈴木義孝","II","黒人霊歌","Set Down Servant","-","-","Robert Shaw","ピアノ: 兼子恭子"
"第3回定期演奏会","1977年3月22日","山形市民会館大ホール","指揮: 鈴木義孝","II","黒人霊歌","Steal Away","-","-","Robert Shaw","ピアノ: 兼子恭子"
"第3回定期演奏会","1977年3月22日","山形市民会館大ホール","指揮: 鈴木義孝","II","黒人霊歌","Deep River","-","-","Robert Shaw","ピアノ: 兼子恭子"
"第3回定期演奏会","1977年3月22日","山形市民会館大ホール","指揮: 鈴木義孝","II","黒人霊歌","Little David Play On Your Harp","-","-","Paul Christiansen","ピアノ: 兼子恭子"
"第3回定期演奏会","1977年3月22日","山形市民会館大ホール","指揮: 鈴木義孝","II","黒人霊歌","Were You There","-","-","Roy Ringwald","ピアノ: 兼子恭子"
"第3回定期演奏会","1977年3月22日","山形市民会館大ホール","指揮: 鈴木義孝","II","黒人霊歌","My Lord, What A Mornin'","-","-","H.T. Burleigh","ピアノ: 兼子恭子"
"第3回定期演奏会","1977年3月22日","山形市民会館大ホール","指揮: 鈴木義孝","II","黒人霊歌","Swing Low, Sweet Chariot","-","-","三善晃","ピアノ: 兼子恭子"
"第3回定期演奏会","1977年3月22日","山形市民会館大ホール","指揮: 鈴木義孝","III","児童合唱のための ""ヴォイス・フィールド""","ののはな","谷川俊太郎","一柳慧","-","打楽器: 須藤やしほ(客演)"
"第3回定期演奏会","1977年3月22日","山形市民会館大ホール","指揮: 鈴木義孝","III","児童合唱のための ""ヴォイス・フィールド""","やんま","谷川俊太郎","一柳慧","-","打楽器: 須藤やしほ(客演)"
"第3回定期演奏会","1977年3月22日","山形市民会館大ホール","指揮: 鈴木義孝","III","児童合唱のための ""ヴォイス・フィールド""","かっぱ","谷川俊太郎","一柳慧","-","打楽器: 須藤やしほ(客演)"
"第3回定期演奏会","1977年3月22日","山形市民会館大ホール","指揮: 鈴木義孝","III","児童合唱のための ""ヴォイス・フィールド""","き","谷川俊太郎","一柳慧","-","打楽器: 須藤やしほ(客演)"
"第3回定期演奏会","1977年3月22日","山形市民会館大ホール","指揮: 鈴木義孝","III","児童合唱のための ""ヴォイス・フィールド""","ばか","谷川俊太郎","一柳慧","-","打楽器: 須藤やしほ(客演)"
"第3回定期演奏会","1977年3月22日","山形市民会館大ホール","指揮: 鈴木義孝","VI","日本の抒情歌","箱根八里","鳥居忱","滝廉太郎","林光","ピアノ: 兼子恭子"
"第3回定期演奏会","1977年3月22日","山形市民会館大ホール","指揮: 鈴木義孝","VI","日本の抒情歌","中国地方の子守唄","日本古謡","山田耕筰","林光","ピアノ: 兼子恭子"
"第3回定期演奏会","1977年3月22日","山形市民会館大ホール","指揮: 鈴木義孝","VI","日本の抒情歌","カチューシャの唄","島村抱月","中山晋平","林光","ピアノ: 兼子恭子"
"第3回定期演奏会","1977年3月22日","山形市民会館大ホール","指揮: 鈴木義孝","VI","日本の抒情歌","浜辺の歌","林古渓","成田為三","林光","ピアノ: 兼子恭子"
"第3回定期演奏会","1977年3月22日","山形市民会館大ホール","指揮: 鈴木義孝","VI","日本の抒情歌","椰子の実","島崎藤村","大中寅二","林光","ピアノ: 兼子恭子"
"第3回定期演奏会","1977年3月22日","山形市民会館大ホール","指揮: 鈴木義孝","VI","日本の抒情歌","ちんちん千鳥","北原白秋","近衛秀麿","林光","ピアノ: 兼子恭子"
"第3回定期演奏会","1977年3月22日","山形市民会館大ホール","指揮: 鈴木義孝","VI","日本の抒情歌","死んだ男の残したものは","谷川俊太郎","武満徹","林光","ピアノ: 兼子恭子"
"第4回定期演奏会","1978年1月6日","山形市民会館大ホール","指揮: 鈴木義孝","I","Missa Pange Lingua","Kyrie","-","Josquin des Prés","皆川達夫",""
"第4回定期演奏会","1978年1月6日","山形市民会館大ホール","指揮: 鈴木義孝","I","Missa Pange Lingua","Gloria","-","Josquin des Prés","皆川達夫",""
"第4回定期演奏会","1978年1月6日","山形市民会館大ホール","指揮: 鈴木義孝","I","Missa Pange Lingua","Credo","-","Josquin des Prés","皆川達夫",""
"第4回定期演奏会","1978年1月6日","山形市民会館大ホール","指揮: 鈴木義孝","I","Missa Pange Lingua","Sanctus","-","Josquin des Prés","皆川達夫",""
"第4回定期演奏会","1978年1月6日","山形市民会館大ホール","指揮: 鈴木義孝","I","Missa Pange Lingua","Benedictus","-","Josquin des Prés","皆川達夫",""
"第4回定期演奏会","1978年1月6日","山形市民会館大ホール","指揮: 鈴木義孝","I","Missa Pange Lingua","Agnus Dei","-","Josquin des Prés","皆川達夫",""
"第4回定期演奏会","1978年1月6日","山形市民会館大ホール","指揮: 鈴木義孝","II","黒人霊歌","Wade in de Water","-","-","三善晃",""
"第4回定期演奏会","1978年1月6日","山形市民会館大ホール","指揮: 鈴木義孝","II","黒人霊歌","Sometimes I Feel Like a Motherless Child","-","-","三善晃",""
"第4回定期演奏会","1978年1月6日","山形市民会館大ホール","指揮: 鈴木義孝","II","黒人霊歌","Swing Low, Sweet Chariot","-","-","三善晃",""
"第4回定期演奏会","1978年1月6日","山形市民会館大ホール","指揮: 鈴木義孝","III","日本民謡による12のインヴェンション","おぼこ祝い唄(青森県民謡)","-","間宮芳生","-",""
"第4回定期演奏会","1978年1月6日","山形市民会館大ホール","指揮: 鈴木義孝","III","日本民謡による12のインヴェンション","のよさ(長野県民謡)","-","間宮芳生","-",""
"第4回定期演奏会","1978年1月6日","山形市民会館大ホール","指揮: 鈴木義孝","III","日本民謡による12のインヴェンション","まいまい(富山県民謡)","-","間宮芳生","-",""
"第4回定期演奏会","1978年1月6日","山形市民会館大ホール","指揮: 鈴木義孝","III","日本民謡による12のインヴェンション","獅子舞(山梨県民謡)","-","間宮芳生","-",""
"第4回定期演奏会","1978年1月6日","山形市民会館大ホール","指揮: 鈴木義孝","III","日本民謡による12のインヴェンション","でいらほん(東京都伊豆青ヶ島民謡)","-","間宮芳生","-",""
"第4回定期演奏会","1978年1月6日","山形市民会館大ホール","指揮: 鈴木義孝","III","日本民謡による12のインヴェンション","天満の市は(大阪地方民謡)","-","間宮芳生","-",""
"第4回定期演奏会","1978年1月6日","山形市民会館大ホール","指揮: 鈴木義孝","III","日本民謡による12のインヴェンション","米搗まだら(長崎県民謡)","-","間宮芳生","-",""
"第4回定期演奏会","1978年1月6日","山形市民会館大ホール","指揮: 鈴木義孝","III","日本民謡による12のインヴェンション","稗搗唄(宮崎県民謡)","-","間宮芳生","-",""
"第4回定期演奏会","1978年1月6日","山形市民会館大ホール","指揮: 鈴木義孝","III","日本民謡による12のインヴェンション","知覧節(鹿児島県民謡)","-","間宮芳生","-",""
"第4回定期演奏会","1978年1月6日","山形市民会館大ホール","指揮: 鈴木義孝","IV","日本の抒情曲","荒城の月","土井晩翠","滝廉太郎","林光","ピアノ: 名和生公"
"第4回定期演奏会","1978年1月6日","山形市民会館大ホール","指揮: 鈴木義孝","IV","日本の抒情曲","お菓子と娘","西條八十","橋本国彦","林光","ピアノ: 名和生公"
"第4回定期演奏会","1978年1月6日","山形市民会館大ホール","指揮: 鈴木義孝","IV","日本の抒情曲","からたちの花","北原白秋","山田耕筰","林光","ピアノ: 名和生公"
"第4回定期演奏会","1978年1月6日","山形市民会館大ホール","指揮: 鈴木義孝","IV","日本の抒情曲","曼珠沙華","北原白秋","山田耕筰","林光","ピアノ: 名和生公"
"第4回定期演奏会","1978年1月6日","山形市民会館大ホール","指揮: 鈴木義孝","IV","日本の抒情曲","死んだ男の残したものは","谷川俊太郎","武満徹","林光","ピアノ: 名和生公"
"第5回定期演奏会","1979年3月17日","山形県民会館地下講堂","指揮: 鈴木義孝, 野口俊章","I","Lamentatio Jeremiae Prophetae(エレミアの哀歌(聖木曜日のための))","Lectio 1: Incipit Lamentatio Jeremiae Prophetae","-","T.L. de Victoria","-","指揮: 鈴木義孝"
"第5回定期演奏会","1979年3月17日","山形県民会館地下講堂","指揮: 鈴木義孝, 野口俊章","I","Lamentatio Jeremiae Prophetae(エレミアの哀歌(聖木曜日のための))","Lectio 1: Aleph......Quomodo Sedet sola","-","T.L. de Victoria","-","指揮: 鈴木義孝"
"第5回定期演奏会","1979年3月17日","山形県民会館地下講堂","指揮: 鈴木義孝, 野口俊章","I","Lamentatio Jeremiae Prophetae(エレミアの哀歌(聖木曜日のための))","Lectio 1: Beth......Plorans ploravit in nocte","-","T.L. de Victoria","-","指揮: 鈴木義孝"
"第5回定期演奏会","1979年3月17日","山形県民会館地下講堂","指揮: 鈴木義孝, 野口俊章","I","Lamentatio Jeremiae Prophetae(エレミアの哀歌(聖木曜日のための))","Lectio 1: Jerusalem(エルサレム)","-","T.L. de Victoria","-","指揮: 鈴木義孝"
"第5回定期演奏会","1979年3月17日","山形県民会館地下講堂","指揮: 鈴木義孝, 野口俊章","I","Lamentatio Jeremiae Prophetae(エレミアの哀歌(聖木曜日のための))","Lectio 2: Vau......Et egressus est a filia Sion","-","T.L. de Victoria","-","指揮: 鈴木義孝"
"第5回定期演奏会","1979年3月17日","山形県民会館地下講堂","指揮: 鈴木義孝, 野口俊章","I","Lamentatio Jeremiae Prophetae(エレミアの哀歌(聖木曜日のための))","Lectio 2: Jerusalem(エルサレム)","-","T.L. de Victoria","-","指揮: 鈴木義孝"
"第5回定期演奏会","1979年3月17日","山形県民会館地下講堂","指揮: 鈴木義孝, 野口俊章","I","Lamentatio Jeremiae Prophetae(エレミアの哀歌(聖木曜日のための))","Lectio 3: Jod......Manum suam misit hostis","-","T.L. de Victoria","-","指揮: 鈴木義孝"
"第5回定期演奏会","1979年3月17日","山形県民会館地下講堂","指揮: 鈴木義孝, 野口俊章","I","Lamentatio Jeremiae Prophetae(エレミアの哀歌(聖木曜日のための))","Lectio 3: Caph......Omnis populus ejus gemens","-","T.L. de Victoria","-","指揮: 鈴木義孝"
"第5回定期演奏会","1979年3月17日","山形県民会館地下講堂","指揮: 鈴木義孝, 野口俊章","I","Lamentatio Jeremiae Prophetae(エレミアの哀歌(聖木曜日のための))","Lectio 3: Jerusalem(エルサレム)","-","T.L. de Victoria","-","指揮: 鈴木義孝"
"第5回定期演奏会","1979年3月17日","山形県民会館地下講堂","指揮: 鈴木義孝, 野口俊章","II","混声合唱組曲 ""嫁ぐ娘に""","1. 嫁ぐ日は近づき","高田敏子","三善晃","-","指揮: 鈴木義孝, 朗読: 皆川貞子"
"第5回定期演奏会","1979年3月17日","山形県民会館地下講堂","指揮: 鈴木義孝, 野口俊章","II","混声合唱組曲 ""嫁ぐ娘に""","2. あなたの生まれたのは","高田敏子","三善晃","-","指揮: 鈴木義孝, 朗読: 皆川貞子"
"第5回定期演奏会","1979年3月17日","山形県民会館地下講堂","指揮: 鈴木義孝, 野口俊章","II","混声合唱組曲 ""嫁ぐ娘に""","3. 戦いの日日","高田敏子","三善晃","-","指揮: 鈴木義孝, 朗読: 皆川貞子"
"第5回定期演奏会","1979年3月17日","山形県民会館地下講堂","指揮: 鈴木義孝, 野口俊章","II","混声合唱組曲 ""嫁ぐ娘に""","4. 時間はきらきらと","高田敏子","三善晃","-","指揮: 鈴木義孝, 朗読: 皆川貞子"
"第5回定期演奏会","1979年3月17日","山形県民会館地下講堂","指揮: 鈴木義孝, 野口俊章","II","混声合唱組曲 ""嫁ぐ娘に""","5. かどで","高田敏子","三善晃","-","指揮: 鈴木義孝, 朗読: 皆川貞子"
"第5回定期演奏会","1979年3月17日","山形県民会館地下講堂","指揮: 鈴木義孝, 野口俊章","III","混声合唱による ""日本抒情歌曲集""より","1. 早春賦","吉丸一昌","中田章","林光","指揮: 野口俊章, ピアノ: 名和生公"
"第5回定期演奏会","1979年3月17日","山形県民会館地下講堂","指揮: 鈴木義孝, 野口俊章","III","混声合唱による ""日本抒情歌曲集""より","2. 叱られて","清水かつら","弘田龍太郎","林光","指揮: 野口俊章, ピアノ: 名和生公"
"第5回定期演奏会","1979年3月17日","山形県民会館地下講堂","指揮: 鈴木義孝, 野口俊章","III","混声合唱による ""日本抒情歌曲集""より","3. 椰子の実","島崎藤村","大中寅二","林光","指揮: 野口俊章, ピアノ: 名和生公"
"第5回定期演奏会","1979年3月17日","山形県民会館地下講堂","指揮: 鈴木義孝, 野口俊章","III","混声合唱による ""日本抒情歌曲集""より","4. 浜辺の歌","林古渓","成田為三","林光","指揮: 野口俊章, ピアノ: 名和生公"
"第5回定期演奏会","1979年3月17日","山形県民会館地下講堂","指揮: 鈴木義孝, 野口俊章","III","混声合唱による ""日本抒情歌曲集""より","5. 鉾をおさめて","時雨音羽","中山晋平","林光","指揮: 野口俊章, ピアノ: 名和生公"
"第6回定期演奏会","1980年2月23日","山形市民会館小ホール","指揮: 鈴木義孝","I","Lagrime d'amante al sepolcro dell'amata(愛する女の墓にながす恋人の涙)","I Incenerite spoglie(むごきこの墓)","-","Claudio Monteverdi","-",""
"第6回定期演奏会","1980年2月23日","山形市民会館小ホール","指揮: 鈴木義孝","I","Lagrime d'amante al sepolcro dell'amata(愛する女の墓にながす恋人の涙)","II Dit elo, o fiume e voi(告げよ、嘆き悲しむ声)","-","Claudio Monteverdi","-",""
"第6回定期演奏会","1980年2月23日","山形市民会館小ホール","指揮: 鈴木義孝","I","Lagrime d'amante al sepolcro dell'amata(愛する女の墓にながす恋人の涙)","III Darà la notte il sol(夜には光をたたえ)","-","Claudio Monteverdi","-",""
"第6回定期演奏会","1980年2月23日","山形市民会館小ホール","指揮: 鈴木義孝","I","Lagrime d'amante al sepolcro dell'amata(愛する女の墓にながす恋人の涙)","IV Ma te raccoglie(されどニンフは)","-","Claudio Monteverdi","-",""
"第6回定期演奏会","1980年2月23日","山形市民会館小ホール","指揮: 鈴木義孝","I","Lagrime d'amante al sepolcro dell'amata(愛する女の墓にながす恋人の涙)","V O chiome d'or(おお白く妙なる腕)","-","Claudio Monteverdi","-",""
